time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2016-02-11T19:33:48.910Z,33.1961667,-115.6038333,2.57,1.37,ml,12,88,0.02039,0.24,ci,ci37522976,2016-02-11T19:37:37.546Z,"9km WSW of Niland, California",earthquake,0.47,0.35,0.24,25,automatic,ci,ci
2016-02-11T19:23:47.860Z,35.0415,-118.3676667,0.31,1.33,ml,12,125,0.05512,0.26,ci,ci37522968,2016-02-11T19:27:43.503Z,"12km SE of Tehachapi, California",earthquake,0.83,31.61,0.118,28,automatic,ci,ci
2016-02-11T18:52:18.070Z,38.7063332,-122.7656631,4.83,1.09,md,10,210,0.00786,0.03,nc,nc72589415,2016-02-11T19:12:04.659Z,"7km S of The Geysers, California",earthquake,1.55,1.93,0.17,4,automatic,nc,nc
2016-02-11T18:51:44.960Z,34.0343333,-116.8786667,17.12,1.83,ml,70,26,0.05887,0.21,ci,ci37522960,2016-02-11T18:55:51.161Z,"12km N of Banning, California",earthquake,0.19,0.5,0.174,26,automatic,ci,ci
2016-02-11T18:32:59.030Z,36.4727,-98.7151,5.03,2.9,mb_lg,,43,0.235,0.48,us,us20004zjf,2016-02-11T19:17:29.259Z,"30km NW of Fairview, Oklahoma",earthquake,2.9,2.2,0.076,45,reviewed,us,us
2016-02-11T18:11:50.100Z,33.333,-116.3768333,9.62,1.9,ml,73,29,0.01025,0.17,ci,ci37522944,2016-02-11T19:26:55.420Z,"9km N of Borrego Springs, California",earthquake,0.12,0.31,0.2,63,reviewed,ci,ci
2016-02-11T17:48:48.710Z,32.5713333,-115.6626667,8.79,1.51,ml,28,194,0.09456,0.21,ci,ci37522928,2016-02-11T19:09:55.721Z,"7km W of Progreso, B.C., MX",earthquake,0.45,0.61,0.104,11,reviewed,ci,ci
2016-02-11T17:10:10.200Z,45.9681667,-122.9775,25.477,1.22,ml,12,106,0.1595,0.23,uw,uw61108352,2016-02-11T18:02:32.640Z,"11km WSW of Kalama, Washington",earthquake,0.82,1.56,0.161,8,reviewed,uw,uw
2016-02-11T17:03:02.480Z,34.7015,-116.2381667,4.12,2.41,ml,33,60,0.07388,0.15,ci,ci37522912,2016-02-11T17:40:38.331Z,"8km WSW of Ludlow, California",earthquake,0.17,0.57,0.193,25,reviewed,ci,ci
2016-02-11T17:00:32.920Z,-25.6731,-13.7383,10.99,5.2,mb,,120,28.964,1.01,us,us20004zj3,2016-02-11T17:42:15.185Z,"Southern Mid-Atlantic Ridge",earthquake,12.8,4.2,0.064,81,reviewed,us,us
2016-02-11T15:44:54.850Z,38.8226662,-122.8451691,1.87,1.04,md,18,62,0.01036,0.03,nc,nc72589355,2016-02-11T18:24:03.550Z,"9km WNW of The Geysers, California",earthquake,0.24,0.46,0.08,6,automatic,nc,nc
2016-02-11T15:38:35.330Z,37.3721667,-118.612,11.89,1.18,md,26,156,0.04322,0.05,nc,nc72589345,2016-02-11T18:31:04.561Z,"13km W of West Bishop, California",earthquake,0.35,0.68,0.239,21,reviewed,nc,nc
2016-02-11T14:44:37.030Z,38.8046684,-122.800499,0.88,1.79,md,30,52,0.005228,0.04,nc,nc72589325,2016-02-11T15:38:03.945Z,"4km NW of The Geysers, California",earthquake,0.18,0.3,0.06,11,automatic,nc,nc
2016-02-11T14:33:26.900Z,33.166,-115.6465,3.47,1.25,ml,31,39,0.02636,0.21,ci,ci37522896,2016-02-11T17:42:18.171Z,"13km WNW of Calipatria, California",earthquake,0.24,0.36,0.199,24,reviewed,ci,ci
2016-02-11T13:52:10.662Z,38.2397,-119.336,9.9,1.8,ml,17,77.24,0.137,0.1606,nn,nn00531098,2016-02-11T18:09:55.918Z,"9km W of Bridgeport, California",earthquake,1.04,2.2,0.25,5,reviewed,nn,nn
2016-02-11T13:47:13.780Z,-16.938,-173.3595,47.64,4.8,mb,,80,3.375,1,us,us20004zhi,2016-02-11T14:19:35.309Z,"117km SSE of Hihifo, Tonga",earthquake,9.2,7.4,0.062,81,reviewed,us,us
2016-02-11T13:29:26.130Z,36.9558334,-121.4456635,4.48,2.06,md,41,51,0.04342,0.07,nc,nc72589300,2016-02-11T14:22:31.525Z,"12km ESE of Gilroy, California",earthquake,0.17,0.46,0.17,30,automatic,nc,nc
2016-02-11T13:18:24.410Z,36.5218,-99.0251,5,2.6,mb_lg,,233,0.143,0.62,us,us20004zh7,2016-02-11T13:40:28.007Z,"18km ENE of Mooreland, Oklahoma",earthquake,2.2,2,0.208,6,reviewed,us,us
2016-02-11T13:10:58.340Z,43.4902,82.7538,18.61,4.9,mb,,74,3.319,0.77,us,us20004zh6,2016-02-11T13:55:35.971Z,"129km ESE of Yining Xian, China",earthquake,8.2,4.4,0.083,46,reviewed,us,us
2016-02-11T12:43:04.089Z,38.7237,-119.6816,7.7,1.4,ml,12,88.57,0.172,0.1508,nn,nn00531097,2016-02-11T17:54:16.235Z,"18km SSE of Gardnerville Ranchos, Nevada",earthquake,1.12,2.4,0.14,3,reviewed,nn,nn
2016-02-11T12:25:01.300Z,35.6608333,-117.6485,9.89,1.3,ml,27,51,0.08881,0.15,ci,ci37522864,2016-02-11T17:07:32.095Z,"5km NNE of Ridgecrest, California",earthquake,0.18,0.46,0.11,23,reviewed,ci,ci
2016-02-11T12:06:16.760Z,19.3845,-155.2428333,2.709,2.14,ml,27,82,0.008065,0.06,hv,hv61175291,2016-02-11T16:56:25.740Z,"5km S of Volcano, Hawaii",earthquake,0.18,0.19,0.129,11,reviewed,hv,hv
2016-02-11T11:45:30.110Z,19.3891667,-155.2795,2.897,2.23,ml,38,43,0.003353,0.07,hv,hv61175281,2016-02-11T17:44:59.910Z,"6km SW of Volcano, Hawaii",earthquake,0.16,0.17,0.222,19,reviewed,hv,hv
2016-02-11T11:41:42.700Z,46.8491667,-121.7565,2.825,1.45,ml,12,102,0.0273,0.07,uw,uw61108332,2016-02-11T18:00:25.450Z,"27km NNW of Packwood, Washington",earthquake,0.24,0.89,0.133,11,reviewed,uw,uw
2016-02-11T11:00:53.625Z,38.0838,-116.7641,2.1,1.1,ml,11,141.06,0.361,0.1644,nn,nn00531094,2016-02-11T17:22:56.181Z,"36km WSW of Warm Springs, Nevada",earthquake,2.31,3.7,0.35,6,reviewed,nn,nn
