Year,State,county_id,county_name,poverty_percent
2014,0,0,United States,15.5
2014,1,1000,Alabama,19.2
2014,1,1001,Autauga County (AL),13.1
2014,1,1003,Baldwin County (AL),13
2014,1,1005,Barbour County (AL),25.4
2014,1,1007,Bibb County (AL),18.1
2014,1,1009,Blount County (AL),17.5
2014,1,1011,Bullock County (AL),35.1
2014,1,1013,Butler County (AL),25
2014,1,1015,Calhoun County (AL),20.5
2014,1,1017,Chambers County (AL),21.3
2014,1,1019,Cherokee County (AL),18.6
2014,1,1021,Chilton County (AL),18.1
2014,1,1023,Choctaw County (AL),25
2014,1,1025,Clarke County (AL),24.9
2014,1,1027,Clay County (AL),19.5
2014,1,1029,Cleburne County (AL),17
2014,1,1031,Coffee County (AL),16.8
2014,1,1033,Colbert County (AL),16.7
2014,1,1035,Conecuh County (AL),30.6
2014,1,1037,Coosa County (AL),18.8
2014,1,1039,Covington County (AL),20.8
2014,1,1041,Crenshaw County (AL),21.2
2014,1,1043,Cullman County (AL),17.2
2014,1,1045,Dale County (AL),22.4
2014,1,1047,Dallas County (AL),35.2
2014,1,1049,DeKalb County (AL),24
2014,1,1051,Elmore County (AL),14.4
2014,1,1053,Escambia County (AL),25.1
2014,1,1055,Etowah County (AL),19
2014,1,1057,Fayette County (AL),20.6
2014,1,1059,Franklin County (AL),23.1
2014,1,1061,Geneva County (AL),23.9
2014,1,1063,Greene County (AL),33.2
2014,1,1065,Hale County (AL),28.1
2014,1,1067,Henry County (AL),17.3
2014,1,1069,Houston County (AL),20.1
2014,1,1071,Jackson County (AL),22
2014,1,1073,Jefferson County (AL),19.5
2014,1,1075,Lamar County (AL),20.6
2014,1,1077,Lauderdale County (AL),18.7
2014,1,1079,Lawrence County (AL),16.6
2014,1,1081,Lee County (AL),25.2
2014,1,1083,Limestone County (AL),13.6
2014,1,1085,Lowndes County (AL),31.4
2014,1,1087,Macon County (AL),32.1
2014,1,1089,Madison County (AL),14.2
2014,1,1091,Marengo County (AL),25.6
2014,1,1093,Marion County (AL),20.2
2014,1,1095,Marshall County (AL),22
2014,1,1097,Mobile County (AL),19.6
2014,1,1099,Monroe County (AL),25.3
2014,1,1101,Montgomery County (AL),22.5
2014,1,1103,Morgan County (AL),15
2014,1,1105,Perry County (AL),46.9
2014,1,1107,Pickens County (AL),25
2014,1,1109,Pike County (AL),26.4
2014,1,1111,Randolph County (AL),20.4
2014,1,1113,Russell County (AL),20.9
2014,1,1115,St. Clair County (AL),14.3
2014,1,1117,Shelby County (AL),9.6
2014,1,1119,Sumter County (AL),38.1
2014,1,1121,Talladega County (AL),22.5
2014,1,1123,Tallapoosa County (AL),21.3
2014,1,1125,Tuscaloosa County (AL),18
2014,1,1127,Walker County (AL),23.5
2014,1,1129,Washington County (AL),18.5
2014,1,1131,Wilcox County (AL),33.7
2014,1,1133,Winston County (AL),20.1
2014,2,2000,Alaska,11.4
2014,2,2013,Aleutians East Borough (AK),16.2
2014,2,2016,Aleutians West Census Area (AK),9.9
2014,2,2020,Anchorage Borough (AK),10
2014,2,2050,Bethel Census Area (AK),23.8
2014,2,2060,Bristol Bay Borough (AK),9.5
2014,2,2068,Denali Borough (AK),7.1
2014,2,2070,Dillingham Census Area (AK),17.5
2014,2,2090,Fairbanks North Star Borough (AK),9.5
2014,2,2100,Haines Borough (AK),9.8
2014,2,2105,Hoonah-Angoon Census Area (AK),19.1
2014,2,2110,Juneau Borough (AK),7.9
2014,2,2122,Kenai Peninsula Borough (AK),11.5
2014,2,2130,Ketchikan Gateway Borough (AK),12.4
2014,2,2150,Kodiak Island Borough (AK),8.3
2014,2,2164,Lake and Peninsula Borough (AK),17.7
2014,2,2170,Matanuska-Susitna Borough (AK),10.7
2014,2,2180,Nome Census Area (AK),26.1
2014,2,2185,North Slope Borough (AK),11.5
2014,2,2188,Northwest Arctic Borough (AK),23.2
2014,2,2195,Petersburg Borough (AK),8.8
2014,2,2198,Prince of Wales-Hyder Census Area (AK),17.4
2014,2,2220,Sitka Borough (AK),8.6
2014,2,2230,Skagway Municipality (AK),3.6
